player_id,game_date,stat,line,direction,predicted_prob,hit
"(1629027, '2024-25')",2024-11-09,POINTS,25,under,0.5486,1
"(1629027, '2024-25')",2024-11-09,REBOUNDS,4,over,0.6634,0
"(1629027, '2024-25')",2024-11-09,ASSISTS,11,over,0.626,1
"(1629027, '2024-25')",2024-11-09,PRA,40,over,0.4839,0
"(1630552, '2024-25')",2024-11-09,POINTS,19,under,0.4088,0
"(1630552, '2024-25')",2024-11-09,REBOUNDS,10,under,0.3754,1
"(1630552, '2024-25')",2024-11-09,ASSISTS,5,under,0.3759,0
"(1630552, '2024-25')",2024-11-09,PRA,35,over,0.5647,0
"(1642258, '2024-25')",2024-11-09,POINTS,12,over,0.5353,1
"(1642258, '2024-25')",2024-11-09,REBOUNDS,4,over,0.5085,0
"(1642258, '2024-25')",2024-11-09,ASSISTS,2,over,0.5093,0
"(1642258, '2024-25')",2024-11-09,PRA,17,under,0.4463,0
"(1628378, '2024-25')",2024-11-09,POINTS,22,over,0.4541,1
"(1628378, '2024-25')",2024-11-09,REBOUNDS,3,over,0.6667,0
"(1628378, '2024-25')",2024-11-09,ASSISTS,4,under,0.3842,1
"(1628378, '2024-25')",2024-11-09,PRA,30,under,0.5122,1
"(1629636, '2024-25')",2024-11-09,POINTS,21,over,0.5352,0
"(1629636, '2024-25')",2024-11-09,REBOUNDS,2,under,0.3948,1
"(1629636, '2024-25')",2024-11-09,ASSISTS,7,under,0.4826,1
"(1629636, '2024-25')",2024-11-09,PRA,30,over,0.491,0
"(1630171, '2024-25')",2024-11-09,POINTS,7,under,0.4343,1
"(1630171, '2024-25')",2024-11-09,REBOUNDS,3,under,0.5261,1
"(1630171, '2024-25')",2024-11-09,ASSISTS,2,over,0.609,0
"(1630171, '2024-25')",2024-11-09,PRA,11,over,0.5606,0
"(1629660, '2024-25')",2024-11-09,POINTS,11,under,0.4639,1
"(1629660, '2024-25')",2024-11-09,REBOUNDS,2,over,0.6008,0
"(1629660, '2024-25')",2024-11-09,ASSISTS,3,over,0.5866,1
"(1629660, '2024-25')",2024-11-09,PRA,16,over,0.4969,0
"(1627777, '2024-25')",2024-11-09,POINTS,6,under,0.3556,0
"(1627777, '2024-25')",2024-11-09,REBOUNDS,3,under,0.2936,1
"(1627777, '2024-25')",2024-11-09,ASSISTS,1,under,0.2559,0
"(1627777, '2024-25')",2024-11-09,PRA,11,under,0.3883,0
"(1630241, '2024-25')",2024-11-09,POINTS,8,under,0.5501,1
"(1630241, '2024-25')",2024-11-09,REBOUNDS,2,under,0.4321,0
"(1630241, '2024-25')",2024-11-09,ASSISTS,1,over,0.7328,1
"(1630241, '2024-25')",2024-11-09,PRA,11,under,0.4808,1
"(1631093, '2024-25')",2024-11-10,POINTS,20,under,0.5203,1
"(1631093, '2024-25')",2024-11-10,REBOUNDS,4,under,0.2606,0
"(1631093, '2024-25')",2024-11-10,ASSISTS,4,under,0.4798,1
"(1631093, '2024-25')",2024-11-10,PRA,28,under,0.52,1
"(202699, '2024-25')",2024-11-10,POINTS,14,under,0.4312,1
"(202699, '2024-25')",2024-11-10,REBOUNDS,7,over,0.6321,1
"(202699, '2024-25')",2024-11-10,ASSISTS,3,over,0.4406,0
"(202699, '2024-25')",2024-11-10,PRA,24,over,0.5365,0
"(1641842, '2024-25')",2024-11-10,POINTS,6,over,0.6219,0
"(1641842, '2024-25')",2024-11-10,REBOUNDS,3,over,0.5213,0
"(1641842, '2024-25')",2024-11-10,PRA,9,over,0.5555,0
"(1627736, '2024-25')",2024-11-10,POINTS,12,over,0.551,1
"(1627736, '2024-25')",2024-11-10,REBOUNDS,2,under,0.3439,0
"(1627736, '2024-25')",2024-11-10,ASSISTS,2,over,0.4508,1
"(1627736, '2024-25')",2024-11-10,PRA,15,over,0.5552,1
"(203501, '2024-25')",2024-11-10,POINTS,13,over,0.4827,0
"(203501, '2024-25')",2024-11-10,REBOUNDS,2,over,0.531,1
"(203501, '2024-25')",2024-11-10,ASSISTS,2,under,0.3294,0
"(203501, '2024-25')",2024-11-10,PRA,17,under,0.5017,1
"(1630191, '2024-25')",2024-11-10,POINTS,5,under,0.4324,0
"(1630191, '2024-25')",2024-11-10,REBOUNDS,7,over,0.585,1
"(1630191, '2024-25')",2024-11-10,ASSISTS,2,under,0.2958,1
"(1630191, '2024-25')",2024-11-10,PRA,15,over,0.4941,1
"(1630595, '2024-25')",2024-11-10,POINTS,22,over,0.5375,1
"(1630595, '2024-25')",2024-11-10,REBOUNDS,7,under,0.3471,0
"(1630595, '2024-25')",2024-11-10,ASSISTS,8,under,0.3428,0
"(1630595, '2024-25')",2024-11-10,PRA,38,under,0.4803,0
"(1631323, '2024-25')",2024-11-10,POINTS,6,under,0.4172,1
"(1631323, '2024-25')",2024-11-10,REBOUNDS,4,under,0.4561,0
"(1631323, '2024-25')",2024-11-10,ASSISTS,1,under,0.4849,0
"(1631323, '2024-25')",2024-11-10,PRA,11,over,0.5071,1
"(1628369, '2024-25')",2024-11-10,POINTS,31,over,0.4249,1
"(1628369, '2024-25')",2024-11-10,REBOUNDS,7,over,0.6023,1
"(1628369, '2024-25')",2024-11-10,ASSISTS,5,over,0.4789,1
"(1628369, '2024-25')",2024-11-10,PRA,43,over,0.4143,1
"(1628401, '2024-25')",2024-11-10,POINTS,19,under,0.401,1
"(1628401, '2024-25')",2024-11-10,REBOUNDS,4,under,0.2805,0
"(1628401, '2024-25')",2024-11-10,ASSISTS,4,over,0.6316,1
"(1628401, '2024-25')",2024-11-10,PRA,28,under,0.4351,1
"(1630202, '2024-25')",2024-11-10,POINTS,17,over,0.5315,1
"(1630202, '2024-25')",2024-11-10,REBOUNDS,3,under,0.4519,1
"(1630202, '2024-25')",2024-11-10,ASSISTS,2,over,0.7598,1
"(1630202, '2024-25')",2024-11-10,PRA,22,over,0.5567,1
"(201950, '2024-25')",2024-11-10,POINTS,13,over,0.5005,1
"(201950, '2024-25')",2024-11-10,REBOUNDS,4,under,0.4197,1
"(201950, '2024-25')",2024-11-10,ASSISTS,4,over,0.5566,0
"(201950, '2024-25')",2024-11-10,PRA,21,under,0.4419,1
"(1630532, '2024-25')",2024-11-10,POINTS,20,under,0.4335,0
"(1630532, '2024-25')",2024-11-10,REBOUNDS,5,over,0.7069,0
"(1630532, '2024-25')",2024-11-10,ASSISTS,4,over,0.7445,1
"(1630532, '2024-25')",2024-11-10,PRA,29,under,0.4048,0
"(1629021, '2024-25')",2024-11-10,POINTS,12,under,0.3807,0
"(1629021, '2024-25')",2024-11-10,REBOUNDS,4,over,0.7634,1
"(1629021, '2024-25')",2024-11-10,ASSISTS,1,over,0.5989,1
"(1629021, '2024-25')",2024-11-10,PRA,17,over,0.6552,1
"(203484, '2024-25')",2024-11-10,POINTS,7,under,0.4486,0
"(203484, '2024-25')",2024-11-10,REBOUNDS,2,under,0.3255,0
"(203484, '2024-25')",2024-11-10,ASSISTS,2,over,0.6026,1
"(203484, '2024-25')",2024-11-10,PRA,11,over,0.5494,1
"(1641710, '2024-25')",2024-11-10,POINTS,8,over,0.5084,1
"(1641710, '2024-25')",2024-11-10,REBOUNDS,3,under,0.4645,1
"(1641710, '2024-25')",2024-11-10,ASSISTS,4,under,0.3463,0
"(1641710, '2024-25')",2024-11-10,PRA,15,under,0.5185,0
"(1641724, '2024-25')",2024-11-10,POINTS,4,under,0.4876,0
"(1641724, '2024-25')",2024-11-10,REBOUNDS,1,over,0.6333,0
"(1641724, '2024-25')",2024-11-10,PRA,5,under,0.4798,0
"(1630591, '2024-25')",2024-11-10,POINTS,16,under,0.4741,1
"(1630591, '2024-25')",2024-11-10,REBOUNDS,5,under,0.3105,1
"(1630591, '2024-25')",2024-11-10,ASSISTS,4,over,0.6855,0
"(1630591, '2024-25')",2024-11-10,PRA,26,under,0.4909,1
"(1630583, '2024-25')",2024-11-10,POINTS,12,over,0.5109,1
"(1630583, '2024-25')",2024-11-10,REBOUNDS,8,over,0.5514,0
"(1630583, '2024-25')",2024-11-10,ASSISTS,4,over,0.5371,1
"(1630583, '2024-25')",2024-11-10,PRA,24,under,0.538,0
"(203924, '2024-25')",2024-11-10,POINTS,18,under,0.4822,0
"(203924, '2024-25')",2024-11-10,REBOUNDS,4,over,0.5541,0
"(203924, '2024-25')",2024-11-10,ASSISTS,2,under,0.4547,1
"(203924, '2024-25')",2024-11-10,PRA,23,over,0.554,0
"(1631200, '2024-25')",2024-11-10,POINTS,4,under,0.4117,1
"(1631200, '2024-25')",2024-11-10,REBOUNDS,2,under,0.3485,0
"(1631200, '2024-25')",2024-11-10,ASSISTS,1,over,0.5592,1
"(1631200, '2024-25')",2024-11-10,PRA,7,under,0.4226,1
"(1641739, '2024-25')",2024-11-10,POINTS,8,under,0.4176,0
"(1641739, '2024-25')",2024-11-10,REBOUNDS,5,over,0.551,0
"(1641739, '2024-25')",2024-11-10,ASSISTS,2,under,0.3726,1
"(1641739, '2024-25')",2024-11-10,PRA,16,under,0.478,1
"(1629634, '2024-25')",2024-11-10,POINTS,5,under,0.4321,0
"(1629634, '2024-25')",2024-11-10,REBOUNDS,3,under,0.4276,0
"(1629634, '2024-25')",2024-11-10,ASSISTS,1,over,0.5278,1
"(1629634, '2024-25')",2024-11-10,PRA,9,over,0.4686,1
"(1630590, '2024-25')",2024-11-10,POINTS,12,over,0.5925,1
"(1630590, '2024-25')",2024-11-10,REBOUNDS,4,under,0.3316,0
"(1630590, '2024-25')",2024-11-10,ASSISTS,7,under,0.4511,1
"(1630590, '2024-25')",2024-11-10,PRA,23,under,0.4031,0
"(1630703, '2024-25')",2024-11-10,POINTS,12,over,0.5034,0
"(1630703, '2024-25')",2024-11-10,REBOUNDS,3,over,0.6317,0
"(1630703, '2024-25')",2024-11-10,ASSISTS,4,under,0.3411,0
"(1630703, '2024-25')",2024-11-10,PRA,20,under,0.5602,1
"(1631222, '2024-25')",2024-11-10,POINTS,8,over,0.5365,1
"(1631222, '2024-25')",2024-11-10,REBOUNDS,6,over,0.5348,0
"(1631222, '2024-25')",2024-11-10,ASSISTS,4,over,0.6512,0
"(1631222, '2024-25')",2024-11-10,PRA,18,under,0.5112,0
"(1642377, '2024-25')",2024-11-10,POINTS,11,under,0.484,0
"(1642377, '2024-25')",2024-11-10,REBOUNDS,3,over,0.6368,1
"(1642377, '2024-25')",2024-11-10,ASSISTS,2,over,0.575,0
"(1642377, '2024-25')",2024-11-10,PRA,16,under,0.502,0
"(1629014, '2024-25')",2024-11-10,POINTS,19,over,0.4467,0
"(1629014, '2024-25')",2024-11-10,REBOUNDS,2,under,0.3918,1
"(1629014, '2024-25')",2024-11-10,ASSISTS,5,over,0.5565,0
"(1629014, '2024-25')",2024-11-10,PRA,26,over,0.4424,0
"(1630166, '2024-25')",2024-11-10,POINTS,10,under,0.4437,1
"(1630166, '2024-25')",2024-11-10,REBOUNDS,6,under,0.4601,1
"(1630166, '2024-25')",2024-11-10,ASSISTS,3,over,0.5572,1
"(1630166, '2024-25')",2024-11-10,PRA,19,over,0.5393,0
"(1630534, '2024-25')",2024-11-10,POINTS,14,under,0.3666,0
"(1630534, '2024-25')",2024-11-10,REBOUNDS,5,under,0.5344,0
"(1630534, '2024-25')",2024-11-10,ASSISTS,2,over,0.7581,0
"(1630534, '2024-25')",2024-11-10,PRA,21,under,0.4074,0
"(1642347, '2024-25')",2024-11-10,POINTS,5,over,0.6134,0
