log_id,game_id,game_date,season,player_id,team_id,opponent_team_id,is_home,minutes,points,rebounds,assists,steals,blocks,turnovers,fg_made,fg_attempted,three_made,three_attempted,ft_made,ft_attempted
0022400061_201143,0022400061,2024-10-22,2024-25,201143,1610612738,1610612752,1,26,11,3,5,1,1,0,4,7,3,5,0,0
0022400061_201950,0022400061,2024-10-22,2024-25,201950,1610612738,1610612752,1,31,18,4,4,1,0,0,7,9,4,6,0,0
0022400062_2544,0022400062,2024-10-22,2024-25,2544,1610612747,1610612750,1,35,16,5,4,0,2,2,7,16,1,4,1,1
0022400062_1630559,0022400062,2024-10-22,2024-25,1630559,1610612747,1610612750,1,36,12,9,4,1,1,0,6,14,0,5,0,1
0022400062_201144,0022400062,2024-10-22,2024-25,201144,1610612750,1610612747,0,20,5,4,2,1,0,3,1,7,0,5,3,3
0022400062_1629675,0022400062,2024-10-22,2024-25,1629675,1610612750,1610612747,0,26,12,4,1,0,0,1,3,8,2,4,4,4
0022400062_1630183,0022400062,2024-10-22,2024-25,1630183,1610612750,1610612747,0,16,6,2,1,1,0,1,3,8,0,3,0,0
0022400061_1626166,0022400061,2024-10-22,2024-25,1626166,1610612752,1610612738,0,21,11,3,4,1,0,1,5,10,1,4,0,0
0022400061_1629674,0022400061,2024-10-22,2024-25,1629674,1610612738,1610612752,1,4,0,0,0,0,0,0,0,0,0,0,0,0
0022400061_1630214,0022400061,2024-10-22,2024-25,1630214,1610612738,1610612752,1,18,2,7,2,0,0,0,1,6,0,3,0,0
0022400061_1641775,0022400061,2024-10-22,2024-25,1641775,1610612738,1610612752,1,6,0,0,1,0,0,0,0,1,0,1,0,0
0022400062_1629216,0022400062,2024-10-22,2024-25,1629216,1610612747,1610612750,1,17,2,2,2,0,0,2,1,2,0,0,0,0
0022400062_1631108,0022400062,2024-10-22,2024-25,1631108,1610612747,1610612750,1,11,2,2,0,0,0,0,0,3,0,3,2,2
0022400061_1628369,0022400061,2024-10-22,2024-25,1628369,1610612738,1610612752,1,30,37,4,10,1,1,1,14,18,8,11,1,2
0022400062_203076,0022400062,2024-10-22,2024-25,203076,1610612747,1610612750,1,38,36,16,4,1,3,1,11,23,1,3,13,15
0022400062_203944,0022400062,2024-10-22,2024-25,203944,1610612750,1610612747,0,34,16,9,4,0,0,2,5,10,1,3,5,7
0022400062_1628978,0022400062,2024-10-22,2024-25,1628978,1610612750,1610612747,0,32,10,3,3,2,0,1,3,11,2,8,2,4
0022400061_1628404,0022400061,2024-10-22,2024-25,1628404,1610612752,1610612738,0,25,12,4,3,0,0,1,4,6,0,2,4,6
0022400061_1628973,0022400061,2024-10-22,2024-25,1628973,1610612752,1610612738,0,25,22,1,2,0,0,4,9,14,1,2,3,3
0022400061_1642278,0022400061,2024-10-22,2024-25,1642278,1610612752,1610612738,0,5,3,0,0,0,0,2,1,2,1,1,0,0
0022400061_1627759,0022400061,2024-10-22,2024-25,1627759,1610612738,1610612752,1,30,23,7,1,1,0,1,7,18,5,9,4,4
0022400061_1630202,0022400061,2024-10-22,2024-25,1630202,1610612738,1610612752,1,25,3,4,4,0,0,1,1,10,1,9,0,0
0022400062_1626156,0022400062,2024-10-22,2024-25,1626156,1610612747,1610612750,1,34,9,1,5,2,0,1,4,12,1,7,0,0
0022400062_1629060,0022400062,2024-10-22,2024-25,1629060,1610612747,1610612750,1,35,18,5,1,2,1,0,7,14,1,4,3,4
0022400062_1642261,0022400062,2024-10-22,2024-25,1642261,1610612747,1610612750,1,16,5,1,2,1,0,1,2,4,1,3,0,0
0022400062_1642355,0022400062,2024-10-22,2024-25,1642355,1610612747,1610612750,1,3,0,1,0,0,0,0,0,2,0,1,0,0
0022400062_203497,0022400062,2024-10-22,2024-25,203497,1610612750,1610612747,0,35,13,14,2,0,1,1,5,8,0,0,3,4
0022400061_1626157,0022400061,2024-10-22,2024-25,1626157,1610612752,1610612738,0,24,12,7,3,0,0,0,5,9,1,2,1,1
0022400061_1630574,0022400061,2024-10-22,2024-25,1630574,1610612752,1610612738,0,6,0,4,0,0,1,0,0,0,0,0,0,0
0022400061_1631210,0022400061,2024-10-22,2024-25,1631210,1610612752,1610612738,0,3,0,0,0,0,0,0,0,1,0,1,0,0
