team_id,team_name,abbreviation,city,conference,division
1,Celtics,BOS,Boston,East,Atlantic
2,Nets,BKN,Brooklyn,East,Atlantic
3,Knicks,NYK,New York,East,Atlantic
4,76ers,PHI,Philadelphia,East,Atlantic
5,Raptors,TOR,Toronto,East,Atlantic
6,Bulls,CHI,Chicago,East,Central
7,Cavaliers,CLE,Cleveland,East,Central
8,Pistons,DET,Detroit,East,Central
9,Pacers,IND,Indiana,East,Central
10,Bucks,MIL,Milwaukee,East,Central
11,Hawks,ATL,Atlanta,East,Southeast
12,Hornets,CHA,Charlotte,East,Southeast
13,Heat,MIA,Miami,East,Southeast
14,Magic,ORL,Orlando,East,Southeast
15,Wizards,WAS,Washington,East,Southeast
16,Nuggets,DEN,Denver,West,Northwest
17,Timberwolves,MIN,Minnesota,West,Northwest
18,Thunder,OKC,Oklahoma City,West,Northwest
19,Trail Blazers,POR,Portland,West,Northwest
20,Jazz,UTA,Utah,West,Northwest
21,Warriors,GSW,Golden State,West,Pacific
22,Clippers,LAC,LA Clippers,West,Pacific
23,Lakers,LAL,LA Lakers,West,Pacific
24,Suns,PHX,Phoenix,West,Pacific
25,Kings,SAC,Sacramento,West,Pacific
26,Mavericks,DAL,Dallas,West,Southwest
27,Rockets,HOU,Houston,West,Southwest
28,Grizzlies,MEM,Memphis,West,Southwest
29,Pelicans,NOP,New Orleans,West,Southwest
30,Spurs,SAS,San Antonio,West,Southwest
